step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,233,1,0.06324716408097096,0.0,0.0,0.19543230637874404,0.0,0.0,,
2,298,2,0.30463705754516013,0.0,0.0,,,,,
3,323,3,0.5491944980068365,0.0,0.0,,,,,
4,420,4,0.09689902843153203,0.0,0.0,,,,,
5,485,5,0.08131477856510175,0.0,0.0,,,,,
6,558,6,0.06399317475669603,0.0,0.0,,,,,
7,623,7,0.0499230644106865,1.0,1.0,,,,,
8,672,8,0.03571701436381166,1.0,1.0,,,,,
9,761,9,0.13319854486945337,0.0,0.0,0.09734612247014107,0.0,0.0,,
10,842,10,0.08616723823879147,0.0,0.0,,,,,
11,1019,11,0.04679608191876799,0.0,0.0,,,,,
12,1044,12,0.057488224493960544,1.0,1.0,,,,,
13,1093,13,0.08995390790204207,0.0,0.0,,,,,
14,1118,14,0.06503715171789129,1.0,1.0,,,,,
15,1239,15,0.05300989337544889,0.0,0.0,,,,,
16,1392,16,0.03342101539534174,0.0,0.0,,,,,
17,1505,17,0.050395448112228354,0.0,0.0,0.05464218536141114,0.0,0.0,,
18,1570,18,0.047799848779104655,1.0,1.0,,,,,
19,1627,19,0.04650324369464734,1.0,1.0,,,,,
20,1732,20,0.03473797295070164,1.0,1.0,,,,,
21,1805,21,0.03325019514821988,1.0,1.0,,,,,
22,1894,22,0.04411326839503917,1.0,1.0,,,,,
23,1959,23,0.032299205741928745,1.0,1.0,,,,,
24,2008,24,0.08080324322722543,0.0,0.0,,,,,
25,2065,25,0.09986208818150252,0.0,0.0,0.03288676813041093,1.0,1.0,,
26,2218,26,0.02055264342428257,1.0,1.0,,,,,
27,2355,27,0.036193203424678785,0.0,0.0,,,,,
28,2444,28,0.03284498281922424,1.0,1.0,,,,,
29,2493,29,0.05013807367999107,1.0,1.0,,,,,
30,2630,30,0.04604748268677642,0.0,0.0,,,,,
31,2719,31,0.02998964364174754,0.0,0.0,,,,,
32,2760,32,0.11762689896067605,0.0,0.0,,,,,
33,2809,33,0.04501747968887988,0.0,0.0,0.037183070151833815,0.0,0.0,,
34,2890,34,0.056607098720676735,0.0,0.0,,,,,
35,2931,35,0.03855171604454517,1.0,1.0,,,,,
36,3004,36,0.06212115444242954,0.0,0.0,,,,,
37,3101,37,0.03866127998831871,0.0,0.0,,,,,
38,3230,38,0.04468660464281129,0.0,0.0,,,,,
39,3335,39,0.04818234464261108,0.0,0.0,,,,,
40,3440,40,0.028438747267467153,0.0,0.0,,,,,
41,3521,41,0.04006461614073487,0.0,0.0,0.04113153500792881,1.0,1.0,,
42,3562,42,0.0933919449178502,0.0,0.0,,,,,
43,3619,43,0.05166475622848208,0.0,0.0,,,,,
44,3756,44,0.025318861908402622,1.0,1.0,,,,,
45,3821,45,0.04860247937089297,1.0,1.0,,,,,
46,3958,46,0.029818933850405942,1.0,1.0,,,,,
47,4047,47,0.02665740520492281,1.0,1.0,,,,,
48,4080,48,0.11131766179576516,0.0,0.0,,,,,
49,4265,49,0.02441797873727805,1.0,1.0,0.024076601492163414,1.0,1.0,,
50,4306,50,0.03804222162626684,1.0,1.0,,,,,
51,4467,51,0.020723228479682804,1.0,1.0,,,,,
52,4612,52,0.038442468440593486,0.0,0.0,,,,,
53,4709,53,0.05028673454449745,0.0,0.0,,,,,
54,4838,54,0.031907383308112006,1.0,1.0,,,,,
55,5151,55,0.03375718248464788,0.0,0.0,,,,,
56,5280,56,0.04528995208074776,0.0,0.0,,,,,
57,5321,57,0.06282008953997865,0.0,0.0,0.032315533994167873,1.0,1.0,,
58,5434,58,0.025221413519882066,1.0,1.0,,,,,
59,5539,59,0.03865672359390794,0.0,0.0,,,,,
60,5620,60,0.031188492996734565,1.0,1.0,,,,,
61,5733,61,0.025727423535427077,1.0,1.0,,,,,
62,5902,62,0.028750831038889285,0.0,0.0,,,,,
63,5943,63,0.038532089391723284,1.0,1.0,,,,,
64,6008,64,0.06764269582097768,0.0,0.0,,,,,
65,6265,65,0.027624459986581088,0.0,0.0,0.0655172376223241,0.0,0.0,,
66,6370,66,0.03452974840832982,0.0,0.0,,,,,
67,6467,67,0.03263692807956734,0.0,0.0,,,,,
68,6556,68,0.03087858550762493,1.0,1.0,,,,,
69,6749,69,0.021140036565135835,1.0,1.0,,,,,
70,6814,70,0.03914184122462757,0.0,0.0,,,,,
71,6951,71,0.03245975363494568,0.0,0.0,,,,,
72,7040,72,0.0291751834779147,0.0,0.0,,,,,
73,7129,73,0.04367786737354023,0.0,0.0,0.03169075885011504,1.0,1.0,,
74,7202,74,0.036166375874890945,0.0,0.0,,,,,
75,7275,75,0.06432327058787148,0.0,0.0,,,,,
