step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,65,1,0.2794034332002047,0.0,0.0,0.24926446572187064,0.0,0.0,,
2,146,2,0.15348772319138518,0.0,0.0,,,,,
3,227,3,0.19731712095136753,0.0,0.0,,,,,
4,396,4,0.07124864144779124,0.0,0.0,,,,,
5,549,5,0.04540898144054633,0.0,0.0,,,,,
6,614,6,0.0715169710166083,0.0,0.0,,,,,
7,703,7,0.057303180478973606,0.0,0.0,,,,,
8,776,8,0.07463018836796334,0.0,0.0,,,,,
9,825,9,0.06919599535622788,0.0,0.0,0.05421033278555394,0.0,0.0,,
10,874,10,0.08129608461943766,0.0,0.0,,,,,
11,979,11,0.06300520984301469,0.0,0.0,,,,,
12,1172,12,0.03662733551763571,0.0,0.0,,,,,
13,1237,13,0.0581522039975971,0.0,0.0,,,,,
14,1334,14,0.05849890058355717,0.0,0.0,,,,,
15,1399,15,0.060273470882457325,0.0,0.0,,,,,
16,1528,16,0.03930591437705516,0.0,0.0,,,,,
17,1601,17,0.04468417897277201,1.0,1.0,0.06019246669835411,0.0,0.0,,
18,1674,18,0.06865476039406429,0.0,0.0,,,,,
19,1811,19,0.036092378803432974,0.0,0.0,,,,,
20,1940,20,0.04378330904550239,0.0,0.0,,,,,
21,1981,21,0.06001423123292624,1.0,1.0,,,,,
22,2094,22,0.03531321623000882,0.0,0.0,,,,,
23,2279,23,0.030619923023307065,0.0,0.0,,,,,
24,2360,24,0.05257751130867109,0.0,0.0,,,,,
25,2673,25,0.02882144811654983,1.0,1.0,0.04654512342986312,0.0,0.0,,
26,2834,26,0.024434906033606242,1.0,1.0,,,,,
27,2891,27,0.042065639417851346,1.0,1.0,,,,,
28,3028,28,0.04111284074298216,0.0,0.0,,,,,
29,3117,29,0.05635095945714221,0.0,0.0,,,,,
30,3158,30,0.04127354736230337,1.0,1.0,,,,,
31,3271,31,0.0457223594288059,0.0,0.0,,,,,
32,3408,32,0.03042725931283659,0.0,0.0,,,,,
33,3529,33,0.040690766945636524,0.0,0.0,0.07635612872894854,0.0,0.0,,
34,3634,34,0.0362857888718673,0.0,0.0,,,,,
35,3659,35,0.046882216318820905,1.0,1.0,,,,,
36,3748,36,0.027210545864548873,1.0,1.0,,,,,
37,3789,37,0.08611431513971182,0.0,0.0,,,,,
38,3878,38,0.05173271818128837,0.0,0.0,,,,,
39,4031,39,0.04172891673889305,0.0,0.0,,,,,
40,4104,40,0.0478878467123852,1.0,1.0,,,,,
41,4361,41,0.030825222753669553,0.0,0.0,0.027888400905455153,1.0,1.0,,
42,4490,42,0.039365585678424395,0.0,0.0,,,,,
43,4635,43,0.03758916839251065,0.0,0.0,,,,,
44,4700,44,0.07772762876396883,0.0,0.0,,,,,
45,4749,45,0.07556072959288335,0.0,0.0,,,,,
46,4774,46,0.09436255875974894,0.0,0.0,,,,,
47,4863,47,0.05413068855414167,0.0,0.0,,,,,
48,4928,48,0.05526543769155978,0.0,0.0,,,,,
49,4977,49,0.051623820820968835,0.0,0.0,0.04910306507828256,1.0,1.0,,
50,5058,50,0.03580133934115293,1.0,1.0,,,,,
51,5235,51,0.033500000061811246,0.0,0.0,,,,,
52,5292,52,0.07164848318988722,0.0,0.0,,,,,
53,5381,53,0.04231669529272371,0.0,0.0,,,,,
54,5470,54,0.06638568991461812,0.0,0.0,,,,,
55,5559,55,0.04054312680493405,0.0,0.0,,,,,
56,5672,56,0.04371525560655365,0.0,0.0,,,,,
57,5777,57,0.044928100319185225,0.0,0.0,0.048391054896970404,1.0,1.0,,
58,5850,58,0.03443628771279085,1.0,1.0,,,,,
59,5915,59,0.05528271165942897,0.0,0.0,,,,,
60,6012,60,0.05503496003155306,0.0,0.0,,,,,
61,6045,61,0.08276160979410634,0.0,0.0,,,,,
62,6086,62,0.05550040867924691,0.0,0.0,,,,,
63,6143,63,0.045055392906890895,0.0,0.0,,,,,
64,6208,64,0.041392064759565986,0.0,0.0,,,,,
65,6297,65,0.03205023227010811,1.0,1.0,0.03229070004128152,0.0,0.0,,
66,6394,66,0.030113783078474322,1.0,1.0,,,,,
67,6435,67,0.09300256800279022,0.0,0.0,,,,,
68,6588,68,0.0318824656848569,1.0,1.0,,,,,
69,6685,69,0.030760614048510132,0.0,0.0,,,,,
70,6734,70,0.059694783537318774,0.0,0.0,,,,,
71,6879,71,0.026843333985436604,1.0,1.0,,,,,
72,6928,72,0.0794298472860828,0.0,0.0,,,,,
73,7033,73,0.028625794008660777,1.0,1.0,0.028651035343981886,1.0,1.0,,
74,7106,74,0.03663451547954334,1.0,1.0,,,,,
75,7211,75,0.02534444698020637,1.0,1.0,,,,,
76,7268,76,0.039432299031011225,1.0,1.0,,,,,
77,7341,77,0.029167218289642027,1.0,1.0,,,,,
78,7390,78,0.04880497288890183,0.0,0.0,,,,,
79,7527,79,0.03203148181921493,0.0,0.0,,,,,
80,7632,80,0.03391059908290537,0.0,0.0,,,,,
81,7721,81,0.03429670266531916,0.0,0.0,0.027790377317838243,0.0,0.0,,
82,7786,82,0.04228011124185286,0.0,0.0,,,,,
83,7883,83,0.02248910262302767,1.0,1.0,,,,,
84,8116,84,0.017319176810809134,1.0,1.0,,,,,
85,8245,85,0.041219157735931725,0.0,0.0,,,,,
86,8302,86,0.03462236239342018,1.0,1.0,,,,,
87,8375,87,0.02626357450486264,1.0,1.0,,,,,
88,8400,88,0.05378966980458548,1.0,1.0,,,,,
89,8457,89,0.0438248584858541,0.0,0.0,0.0231474223717253,1.0,1.0,,
90,8594,90,0.022826784913794494,1.0,1.0,,,,,
91,8635,91,0.07125787265226247,0.0,0.0,,,,,
